Sku,Nome
﻿3642,"Código não encontrado"
4020,"Código não encontrado"
4021,"Código não encontrado"
4627,"Código não encontrado"
5783,"Código não encontrado"
7935,"Código não encontrado"
17384,"PARAFUSO VASADO M8"
87550,"Código não encontrado"
87596,EXTRATOR
98075,MEDIDOR
98113,"Código não encontrado"
98364,"Código não encontrado"
98590,"Código não encontrado"
98605,"Código não encontrado"
98691,"Código não encontrado"
99010,BUCHA
99011,PARAFUSO
99013,PARAFUSO
99142,"Código não encontrado"
99298,TRAVESSA
99309,"FERRAMENTA DE GIRO"
99351,"Código não encontrado"
99353,"Código não encontrado"
99354,"Código não encontrado"
99414,FERRAMENTA
99476,"Código não encontrado"
99664,"Código não encontrado"
130113,"Código não encontrado"
154262,PINO
184417,CALCO
213604,MANCAL
214005,RETENTOR
244249,RETENTOR
272946,"MOLA Nº2"
276587,ANEL
277795,"ABRAÇADEIRA MOLA DIANT."
278531,ANEL
294548,"ANEL VEDACAO"
302614,JOELHO
304426,"ANEL O RING"
305479,"CONE "
313700,ANEL
315060,"TUBO OLEO PILOTO"
315251,"Código não encontrado"
329348,CALÇO
329349,"CALCO REGULADOR"
354385,ANEL
362139,"Código não encontrado"
366595,"Código não encontrado"
368035,ANEL
369910,MARTELINHO
374330,ROLAMENTO
378277,"Código não encontrado"
378637,ARRUELA
378638,ARRUELA
387328,"Código não encontrado"
389434,ROLAMENTO
392520,ANEL
392996,ROLAMENTO
393187,ANEL
394156,"Código não encontrado"
452641,"Código não encontrado"
527055,ARTICULACAO
527056,ARTICULACAO
550154,"KIT FILTRO"
550255,"JG ANEIS 124"
550537,"JG.DE JUNTAS"
574859,"Código não encontrado"
574913,"Código não encontrado"
796354,ABRACADEIRA
796355,ABRACADEIRA
796365,ABRACADEIRA
801991,PARAFUSO
802193,"PARAFUSO SEXTAVADO"
802998,ARRUELA
803466,"PINO GUIA CABECOTE"
804664,ANEL
804690,ANEL
804840,"Código não encontrado"
805622,"Código não encontrado"
806312,GRAXEIRA
807310,ARRUELA
807356,PORCA
807358,"KIT DE PORCA"
808298,"Código não encontrado"
808299,PARAFUSO
808315,PARAFUSO
808317,PARAFUSO
808320,PARAFUSO
808394,PARAFUSO
808401,PARAFUSO
808405,"Código não encontrado"
808414,PARAFUSO
808419,PARAFUSO
808423,PARAFUSO
808945,"Código não encontrado"
810003,PARAFUSO
812418,JUNTA
812957,"NIPEL UNIAO "
813202,BUJAO
814900,"Código não encontrado"
814912,PARAFUSO
814919,PARAFUSO
815122,PORCA
815125,PORCA
815361,"ABRACADEIRA NYLON"
815362,"ABRACADEIRA DE NYLON"
815363,"ABRACADEIRA NYLON"
815615,PORCA
1104034,ARRUELA
1104035,ARRUELA
1108053,PARAFUSO
1111459,SENSOR
1112833,CATRACA
1112834,CATRACA
1114622,"PORCA DO EIXO TRAZ"
1116461,ENGRENAGEM
1117285,"FILTRO TURBINA "
1118030,COROA
1121247,"Código não encontrado"
1121627,PINO
1122989,ANEL
1123225,"VALVULA RETENCAO"
1300596,ROLAMENTO
1300977,"GUARDA PO"
1301675,MANCAL
1301676,FILTRO
1301682,ROLAMENTO
1301696,FILTRO
1302665,TRAVA
1304241,"Código não encontrado"
1304315,ROLAMENTO
1305109,BUCHA
1305111,ANEL
1305676,PINO
1306950,"TIRANTE DA FECHADURA DA PORTA"
1306951,"Código não encontrado"
1309465,"MOLA DE ACO"
1313606,ROLAMENTO
1318388,RETENTOR
1319392,"PINO ELASTICO"
1324599,"CAIXA FAROL"
1324663,"VALVULA PEDAL"
1324793,ARRUELA
1327026,"Código não encontrado"
1333183,"RADIADOR OLEO"
